step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
138	5.3228927e-02	5.2359903e-04	1.7616010e-05	-4.9449746e-21	1.1904305e-20	-9.4617719e-24	3.3080389e-22	-4.3399183e-21
139	5.3852900e-02	5.2359903e-04	1.7515857e-05	-1.6121950e-20	1.6273806e-20	-2.1505827e-23	-1.1172982e-21	3.1939006e-22
140	5.4477443e-02	5.2359903e-04	1.7416824e-05	3.3092715e-22	5.6533717e-21	-5.5416201e-23	1.5239314e-21	1.7690452e-21
141	5.5102601e-02	5.2359903e-04	1.7319168e-05	3.6622473e-20	4.1419142e-20	1.2390726e-23	1.1562482e-21	-4.7437657e-22
142	5.5728416e-02	5.2359903e-04	1.7222983e-05	-1.6585801e-20	-9.9850069e-21	-3.7135599e-23	-5.5686184e-22	-5.3270298e-22
143	5.6354927e-02	5.2359903e-04	1.7132093e-05	-1.9412289e-20	-3.5853728e-21	-3.7299237e-23	-2.1046809e-21	1.3684272e-21
144	5.6982026e-02	5.2359903e-04	1.7044658e-05	-1.5558704e-20	-1.5344133e-20	2.0814466e-23	-3.5967127e-23	3.8545716e-22
145	5.7609598e-02	5.2359903e-04	1.6955542e-05	-7.4476358e-21	2.6384242e-20	-4.5998230e-23	7.8679015e-22	-4.2845008e-23
146	5.8237688e-02	5.2359903e-04	1.6866660e-05	-3.5289693e-21	3.1163950e-20	-1.4712826e-23	2.4012679e-21	-5.8082349e-22
147	5.8866339e-02	5.2359903e-04	1.6778683e-05	7.6306515e-21	-5.6324669e-21	7.7153348e-23	2.1771082e-21	-1.8981966e-23
148	5.9495592e-02	5.2359903e-04	1.6691858e-05	1.7268165e-20	3.7281961e-20	4.2209441e-23	8.4043269e-22	-1.3563477e-22
149	6.0125486e-02	5.2359903e-04	1.6606262e-05	-4.2172504e-21	-1.2703816e-20	2.9187166e-23	1.9898030e-21	-1.0082875e-21
150	6.0756056e-02	5.2359903e-04	1.6521911e-05	-2.3833066e-20	-1.7143920e-20	1.6383017e-23	-6.9306361e-22	1.7289366e-21
151	6.1387336e-02	5.2359903e-04	1.6438810e-05	-1.7506007e-20	-2.1010127e-20	1.2001175e-22	2.5510529e-21	-2.6606799e-22
152	6.2019356e-02	5.2359903e-04	1.6356957e-05	6.9501012e-20	-1.1525358e-20	-3.6019509e-24	1.0499410e-21	1.0220186e-21
153	6.2652143e-02	5.2359903e-04	1.6276338e-05	-2.3443368e-20	1.1518158e-20	4.5848584e-23	8.1282256e-22	4.6557585e-22
154	6.3285724e-02	5.2359903e-04	1.6196942e-05	-2.3062743e-20	7.2878915e-21	1.0409028e-23	3.8284406e-22	1.8201733e-21
155	6.3920121e-02	5.2359903e-04	1.6118763e-05	1.0140807e-20	3.3692249e-21	-2.7424677e-23	6.0700381e-22	-7.8565616e-23
156	6.4555353e-02	5.2359903e-04	1.6041765e-05	1.1388785e-20	-7.6353847e-21	4.3339328e-24	-1.7557086e-21	-1.5672941e-21
157	6.5191437e-02	5.2359903e-04	1.5976004e-05	-1.5942090e-20	1.4319288e-20	-2.0872455e-23	5.8035615e-22	1.7377127e-21
158	6.5827974e-02	5.2359903e-04	1.5910095e-05	-5.0250440e-22	-2.5036473e-20	8.0652625e-23	-2.0148001e-22	-1.8606271e-21
159	6.6464809e-02	5.2359903e-04	1.5841113e-05	-2.5782341e-20	2.1634192e-20	-1.0276416e-22	2.1183878e-21	-2.7841860e-22
160	6.7101959e-02	5.2359903e-04	1.5771548e-05	-6.8812337e-21	1.0711548e-20	-2.5265256e-23	-1.3944103e-21	-3.9117640e-22
161	6.7739441e-02	5.2359903e-04	1.5702273e-05	-9.0896498e-21	-1.5606035e-20	4.5447116e-23	1.1327057e-21	2.5613328e-22
162	6.8377271e-02	5.2359903e-04	1.5633607e-05	5.2572452e-20	-2.2507779e-20	4.2189745e-23	-4.4141698e-22	-6.3086686e-22
163	6.9015470e-02	5.2359903e-04	1.5565656e-05	2.1931911e-20	1.2792957e-20	2.3854067e-23	-5.1103396e-23	1.0047376e-21
164	6.9654058e-02	5.2359903e-04	1.5498464e-05	-6.6994407e-20	-6.6035546e-21	-3.2100479e-23	1.9911835e-21	9.3208846e-23
