step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
114	1.7313978e-03	3.1146248e-04	4.8965734e-03	-1.3090488e-08	-4.7417482e-19	7.2969634e-24	3.6615768e-20	2.5004899e-09
115	1.7594246e-03	3.1146248e-04	4.8633513e-03	-1.2225577e-08	1.6398209e-18	1.6176941e-21	-1.5868726e-19	2.4716906e-09
116	1.7874580e-03	3.1146248e-04	4.8306280e-03	-1.1393842e-08	-1.1621625e-18	-5.9132058e-22	1.1352221e-19	2.4449918e-09
117	1.8154990e-03	3.1146248e-04	4.7984785e-03	-1.0618353e-08	6.0570634e-19	-1.4081167e-22	-2.0380379e-19	2.4195748e-09
118	1.8435484e-03	3.1146248e-04	4.7669174e-03	-9.8889543e-09	-7.6190079e-19	9.0169267e-22	1.4376201e-20	2.3956568e-09
119	1.8716072e-03	3.1146248e-04	4.7359416e-03	-9.1959955e-09	-9.2290415e-20	7.8141545e-22	2.0931951e-19	2.3731351e-09
120	1.8996761e-03	3.1146248e-04	4.7055422e-03	-8.5351500e-09	7.8227234e-19	2.1589151e-21	-1.8328710e-19	2.3519496e-09
121	1.9277560e-03	3.1146248e-04	4.6757078e-03	-7.9099494e-09	9.7460294e-19	1.2522489e-21	-6.5652160e-20	2.3314625e-09
122	1.9558475e-03	3.1146248e-04	4.6464258e-03	-7.3202909e-09	-6.7778929e-19	1.5780669e-21	6.6090767e-20	2.3113771e-09
123	1.9839513e-03	3.1146248e-04	4.6176834e-03	-6.7707495e-09	-1.3078178e-18	-5.8412069e-22	-2.2276170e-19	2.2910446e-09
124	2.0120681e-03	3.1146248e-04	4.5894671e-03	-6.2453680e-09	1.6064490e-18	-9.3539182e-22	6.5816243e-20	2.2704751e-09
125	2.0401984e-03	3.1146248e-04	4.5617636e-03	-5.7431254e-09	2.0055495e-18	-1.0221973e-21	-8.1684969e-20	2.2499791e-09
126	2.0683428e-03	3.1146248e-04	4.5345598e-03	-5.2690754e-09	-2.4898217e-18	6.4771335e-23	2.2732762e-19	2.2296773e-09
127	2.0965017e-03	3.1146248e-04	4.5078424e-03	-4.8215767e-09	1.5360195e-18	2.1663445e-21	2.1900041e-19	2.2094291e-09
128	2.1246756e-03	3.1146248e-04	4.4815984e-03	-4.3922777e-09	-9.7197761e-19	2.1658638e-21	-3.7023372e-19	2.1891581e-09
129	2.1528649e-03	3.1146248e-04	4.4558149e-03	-3.9866148e-09	-1.2117487e-18	1.2683836e-21	1.2835082e-19	2.1690529e-09
130	2.1810700e-03	3.1146248e-04	4.4304797e-03	-3.6008345e-09	1.4455466e-18	2.3687398e-22	-2.0307804e-19	2.1490384e-09
131	2.2092912e-03	3.1146248e-04	4.4062604e-03	-3.2350975e-09	1.7104398e-19	-1.2345673e-22	6.2944789e-20	2.1307338e-09
